City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Yenagoa,NG,78.37,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
358,Fare,PF,80.65,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
361,Rock Sound,BS,77.83,few clouds,24.9,-76.2,Rock Sound Club
370,Touros,BR,75.2,light rain,-5.1989,-35.4608,INN NEW HORIZON
373,Jaqué,PA,77.97,few clouds,7.5175,-78.1703,Imbu Bua Lodge
376,Mongar,BT,74.5,clear sky,27.2747,91.2396,Wangchuk Hotel
382,Wanning,CN,85.78,clear sky,18.8003,110.3967,Paradise Hotel
388,Bairiki Village,KI,78.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
390,Sorong,ID,83.08,broken clouds,-0.8833,131.25,waigo splash hotel
392,Waingapu,ID,84.25,clear sky,-9.6567,120.2641,Pondok Wisata Elim
396,Meulaboh,ID,85.3,overcast clouds,4.1363,96.1285,Kost Pria
404,Mayumba,GA,75.02,light rain,-3.432,10.6554,LIKWALE LODGE
405,Bacolod City,PH,87.76,broken clouds,10.6667,122.95,Planta Hotel & Residences
410,Humaitá,BR,74.93,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
412,Taoudenni,ML,82.58,clear sky,22.6783,-3.9836,
414,Diffa,NE,82.92,clear sky,13.3154,12.6113,ProDAF/Diffa
418,Mahibadhoo,MV,83.1,overcast clouds,3.7833,72.9667,Omadhoo Inn
420,Soyo,AO,77.32,moderate rain,-6.1349,12.3689,Hotel Mpampa
427,Eyl,SO,84.7,scattered clouds,7.9803,49.8164,Amiin Hotel
429,Puerto Colombia,CO,80.6,clear sky,10.9878,-74.9547,Hotel El Emigrante
433,Puerto Nariño,CO,77.0,clear sky,-3.7703,-70.3831,Eware Refugio Amazonico
434,La Santisima Trinidad,BO,73.31,broken clouds,-14.8333,-64.9,Hotel Piesta
437,Poum,NC,79.47,overcast clouds,-20.2333,164.0167,Gîte kajeon
446,Tessalit,ML,79.11,clear sky,20.1986,1.0114,
447,Geraldton,AU,87.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
449,Galveston,US,70.0,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
450,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Hotel Citra
458,Bubaque,GW,77.74,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
463,Cam Ranh,VN,87.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
472,Corralillo,CU,76.26,few clouds,22.9819,-80.5856,Hostal De Pedri
474,Puro,PH,85.44,overcast clouds,12.4841,123.3827,
475,Hambantota,LK,87.8,few clouds,6.1241,81.1185,Bungalow 63
478,Doka,SD,87.06,broken clouds,13.5167,35.7667,
480,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
481,Komono,JP,70.0,broken clouds,35.0,136.5167,Aqua Ignis
488,Alofi,NU,81.09,broken clouds,-19.0595,-169.9187,Taloa Heights
490,Tonantins,BR,72.84,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
493,Basoko,CD,71.28,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
499,Bandarbeyla,SO,83.86,overcast clouds,9.4942,50.8122,JABIR HOTEL
500,Hervey Bay,AU,75.0,broken clouds,-25.2986,152.8535,Shelly Bay Resort
501,Mount Isa,AU,84.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
503,Arboletes,CO,80.55,broken clouds,8.8505,-76.4269,Hotel Playa Star
510,Santa Isabel Rio Negro,BR,73.8,overcast clouds,-0.4139,-65.0192,Hotel GSA
515,Mūlki,IN,77.0,broken clouds,13.1,74.8,Karnire Camping Ground
520,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
521,Jiazi,CN,81.14,scattered clouds,22.8779,116.06700000000001,Hotel Jin Hao
522,Itarema,BR,75.15,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
527,Buala,SB,84.36,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
528,Abonnema,NG,78.33,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
536,Palmas,BR,73.4,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
537,Sambava,MG,76.64,moderate rain,-14.2667,50.1667,Melrose
540,Leer,SS,79.95,overcast clouds,8.3018,30.1418,
543,Jamkhandi,IN,89.01,broken clouds,16.5167,75.3,Hotel Shreyas
548,Mossamedes,AO,79.93,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
554,Barra de Tecoanapa,MX,80.37,overcast clouds,16.5167,-98.75,Hotel Manglares
557,Porto de Moz,BR,71.49,light rain,-1.7483,-52.2383,Dormitório labelle
559,Almeirim,BR,72.75,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
568,Yaan,NG,79.0,overcast clouds,7.3833,8.5667,
569,Qui Nhon,VN,85.64,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
570,Brownsville,US,75.2,overcast clouds,25.9018,-97.4975,University Inn & Suites
576,Téra,NE,84.99,clear sky,14.0078,0.7531,Hotel Dar es salam
580,Davila,PH,84.2,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
581,Biri,PH,83.82,overcast clouds,12.6833,124.3636,Exequiel and Wyn Lodging House
584,Jhajjar,IN,77.0,moderate rain,28.6063,76.6565,Sainik Rest House
591,Katiola,CI,73.4,scattered clouds,8.1333,-5.1,Auberge Residence Yebin
595,Nuevo Progreso,MX,75.0,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
598,Crato,BR,75.2,scattered clouds,-7.2342,-39.4094,"Loft no Centro do Crato, ao lado da Praça da Sé"
601,Mareeba,AU,82.99,light rain,-17.0,145.4333,Trinity Plains Tourist Park
604,Cape Coast,GH,80.82,scattered clouds,5.1053,-1.2466,Samrit Hotel
605,Zhangjiakou,CN,72.57,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
609,Port Moresby,PG,87.8,moderate rain,-9.4431,147.1797,Lamana Hotel
610,Keti Bandar,PK,86.32,clear sky,24.1447,67.4497,Haji laloo memon house
611,Nova Olinda do Norte,BR,74.66,light rain,-3.8881,-59.0942,Casa Juazeiro
614,Ruteng,ID,74.62,few clouds,-8.6136,120.4721,Hotel FX72 Ruteng
616,Buraidah,SA,73.4,few clouds,26.326,43.975,فندق راحة السلام
617,Airai,TL,75.02,scattered clouds,-8.9266,125.4092,Juvinal Martin
619,Itupiranga,BR,72.88,overcast clouds,-5.1347,-49.3267,Hotel Panorama
624,Lázaro Cárdenas,MX,75.15,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
627,Ipixuna,BR,73.4,broken clouds,-1.7625,-48.8043,Casa da Oscarina
628,Kodīnar,IN,88.68,overcast clouds,20.7903,70.7031,Gayatri Auto advisor
630,Catuday,PH,80.98,scattered clouds,16.2923,119.8062,GResort
634,Namatanai,PG,77.67,moderate rain,-3.6667,152.4333,Namatanai Hotel
635,Ciudad de Armería,MX,71.38,overcast clouds,18.9333,-103.9667,Hotel la Herradura
636,Nioki,CD,71.1,light rain,-2.7167,17.6833,
638,Sakété,BJ,80.6,light rain,6.7362,2.6587,IBUKUN OLUWA
639,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
640,Bom Jesus,BR,72.16,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
641,Delhi,IN,77.0,broken clouds,28.6667,77.2167,Maidens Hotel
642,Nanchang,CN,76.78,broken clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
644,Coahuayana Viejo,MX,70.7,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
649,Sola,VU,83.53,overcast clouds,-13.8833,167.55,Leumerus Bungalows
650,Sakakah,SA,75.2,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
655,Buchanan,LR,73.4,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
657,Miramar,US,75.99,overcast clouds,25.9873,-80.2323,Miramar
658,Padang,ID,86.0,scattered clouds,-0.9492,100.3543,Mercure Padang
660,Koumac,NC,78.89,overcast clouds,-20.5667,164.2833,Le Monitel
661,Trairi,BR,74.07,scattered clouds,-3.2778,-39.2689,janelas do mar
665,Bambanglipuro,ID,85.17,few clouds,-7.95,110.2833,Puri Brata
666,Kupang,ID,84.25,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
667,Malakal,SS,81.86,scattered clouds,9.5334,31.6605,Nile Palace Hotel
670,Qujing,CN,83.53,scattered clouds,25.4833,103.7833,Yulong Hotel
677,Chapada dos Guimarães,BR,73.4,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
678,Āsosa,ET,70.75,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
